"","...1","X","Barcode","contig","Region","Type","From","To","Most_smimilar_known_cluster_name","Most_smimilar_known_cluster_type","Similarity_pct","Assembly","kort_navn","Domain","Phylum","Class","Order","Family","Genus","Species","Species_name","duplicate_kort_navn","Species_name_new"
"22",22,172,11,2,1.9,"terpene",1037740,1059011,"ebelactone","Polyketide",5,"barcode11","(Ai10)","d__Bacteria","p__Actinomycetota","c__Actinomycetia","o__Streptomycetales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces gardneri","Streptomyces gardneri",FALSE,"Streptomyces gardneri"
"23",23,173,11,2,1.1,"RiPP-like",1245581,1257869,"divergolide A/divergolide B/divergolide C/divergolide D","Polyketide:Modular type I polyketide",6,"barcode11","(Ai10)","d__Bacteria","p__Actinomycetota","c__Actinomycetia","o__Streptomycetales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces gardneri","Streptomyces gardneri",FALSE,"Streptomyces gardneri"
"24",24,174,11,2,1.11,"NRPS-like",1411665,1454286,"Unknown","Unknown",0,"barcode11","(Ai10)","d__Bacteria","p__Actinomycetota","c__Actinomycetia","o__Streptomycetales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces gardneri","Streptomyces gardneri",FALSE,"Streptomyces gardneri"
"25",25,175,11,2,1.12,"lassopeptide",1718218,1740660,"Unknown","Unknown",0,"barcode11","(Ai10)","d__Bacteria","p__Actinomycetota","c__Actinomycetia","o__Streptomycetales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces gardneri","Streptomyces gardneri",FALSE,"Streptomyces gardneri"
"26",26,176,11,3,2.1,"NI-siderophore",73549,88088,"schizokinen","Other",25,"barcode11","(Ai10)","d__Bacteria","p__Actinomycetota","c__Actinomycetia","o__Streptomycetales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces gardneri","Streptomyces gardneri",FALSE,"Streptomyces gardneri"
"27",27,177,11,3,2.2,"RiPP-like",281587,292132,"Unknown","Unknown",0,"barcode11","(Ai10)","d__Bacteria","p__Actinomycetota","c__Actinomycetia","o__Streptomycetales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces gardneri","Streptomyces gardneri",FALSE,"Streptomyces gardneri"
"28",28,178,11,3,2.3,"butyrolactone",395942,406892,"griseoviridin/fijimycin A","NRP:Cyclic depsipeptide+Polyketide:Trans-AT type I polyketide",8,"barcode11","(Ai10)","d__Bacteria","p__Actinomycetota","c__Actinomycetia","o__Streptomycetales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces gardneri","Streptomyces gardneri",FALSE,"Streptomyces gardneri"
"29",29,179,11,3,2.4,"transAT-PKS-like,NRPS-like,T1PKS",526611,575353,"salinosporamide A","NRP+Polyketide",23,"barcode11","(Ai10)","d__Bacteria","p__Actinomycetota","c__Actinomycetia","o__Streptomycetales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces gardneri","Streptomyces gardneri",FALSE,"Streptomyces gardneri"
"30",30,180,11,3,2.5,"terpene",777427,803152,"hopene","Terpene",76,"barcode11","(Ai10)","d__Bacteria","p__Actinomycetota","c__Actinomycetia","o__Streptomycetales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces gardneri","Streptomyces gardneri",FALSE,"Streptomyces gardneri"
"31",31,181,11,3,2.6,"LAP",899295,921301,"Unknown","Unknown",0,"barcode11","(Ai10)","d__Bacteria","p__Actinomycetota","c__Actinomycetia","o__Streptomycetales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces gardneri","Streptomyces gardneri",FALSE,"Streptomyces gardneri"
"32",32,182,11,3,2.7,"melanin,lanthipeptide-class-ii,NRPS,T1PKS,lanthipeptide-class-iv",1272471,1352590,"oxalomycin B","NRP+Polyketide",18,"barcode11","(Ai10)","d__Bacteria","p__Actinomycetota","c__Actinomycetia","o__Streptomycetales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces gardneri","Streptomyces gardneri",FALSE,"Streptomyces gardneri"
"33",33,183,11,3,2.8,"lanthipeptide-class-ii,NRPS,T1PKS",1371027,1488775,"camporidine A/camporidine B","Alkaloid+Polyketide",65,"barcode11","(Ai10)","d__Bacteria","p__Actinomycetota","c__Actinomycetia","o__Streptomycetales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces gardneri","Streptomyces gardneri",FALSE,"Streptomyces gardneri"
"34",34,184,11,3,2.9,"NAPAA,betalactone",1816550,1852413,"e-Poly-L-lysine","NRP",100,"barcode11","(Ai10)","d__Bacteria","p__Actinomycetota","c__Actinomycetia","o__Streptomycetales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces gardneri","Streptomyces gardneri",FALSE,"Streptomyces gardneri"
"35",35,185,11,3,2.1,"terpene",2260566,2281462,"Unknown","Unknown",0,"barcode11","(Ai10)","d__Bacteria","p__Actinomycetota","c__Actinomycetia","o__Streptomycetales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces gardneri","Streptomyces gardneri",FALSE,"Streptomyces gardneri"
"36",36,186,11,4,3.1,"thiopeptide,LAP",150998,181433,"Unknown","Unknown",0,"barcode11","(Ai10)","d__Bacteria","p__Actinomycetota","c__Actinomycetia","o__Streptomycetales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces gardneri","Streptomyces gardneri",FALSE,"Streptomyces gardneri"
"37",37,187,11,5,4.1,"CDPS",944821,965549,"malacidin A/malacidin B","NRP:Lipopeptide:Ca+-dependent lipopeptide",5,"barcode11","(Ai10)","d__Bacteria","p__Actinomycetota","c__Actinomycetia","o__Streptomycetales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces gardneri","Streptomyces gardneri",FALSE,"Streptomyces gardneri"
"38",38,188,11,5,4.2,"PKS-like,T1PKS,T2PKS,RiPP-like",1036849,1142108,"LL-D49194a1 (LLD)","Polyketide",18,"barcode11","(Ai10)","d__Bacteria","p__Actinomycetota","c__Actinomycetia","o__Streptomycetales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces gardneri","Streptomyces gardneri",FALSE,"Streptomyces gardneri"
"39",39,189,11,5,4.3,"NI-siderophore",1686820,1698604,"desferrioxamin B","Other",100,"barcode11","(Ai10)","d__Bacteria","p__Actinomycetota","c__Actinomycetia","o__Streptomycetales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces gardneri","Streptomyces gardneri",FALSE,"Streptomyces gardneri"
"40",40,190,11,6,5.1,"other",285159,326265,"stambomycin A/stambomycin B/stambomycin C/stambomycin D","Polyketide:Modular type I polyketide+Saccharide:Hybrid/tailoring saccharide",16,"barcode11","(Ai10)","d__Bacteria","p__Actinomycetota","c__Actinomycetia","o__Streptomycetales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces gardneri","Streptomyces gardneri",FALSE,"Streptomyces gardneri"
"41",41,191,11,6,5.2,"melanin",744292,754705,"istamycin","Saccharide",8,"barcode11","(Ai10)","d__Bacteria","p__Actinomycetota","c__Actinomycetia","o__Streptomycetales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces gardneri","Streptomyces gardneri",FALSE,"Streptomyces gardneri"
"42",42,192,11,6,5.3,"T1PKS",780453,854341,"mycinamicin II","Polyketide",61,"barcode11","(Ai10)","d__Bacteria","p__Actinomycetota","c__Actinomycetia","o__Streptomycetales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces gardneri","Streptomyces gardneri",FALSE,"Streptomyces gardneri"
"43",43,193,11,6,5.4,"NRPS-like",1430649,1474350,"xantholipin","Polyketide",10,"barcode11","(Ai10)","d__Bacteria","p__Actinomycetota","c__Actinomycetia","o__Streptomycetales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces gardneri","Streptomyces gardneri",FALSE,"Streptomyces gardneri"
"44",44,194,11,7,6.1,"NRPS",292403,348685,"zorbamycin","NRP:Glycopeptide+Polyketide:Modular type I polyketide+Saccharide:Hybrid/tailoring saccharide",6,"barcode11","(Ai10)","d__Bacteria","p__Actinomycetota","c__Actinomycetia","o__Streptomycetales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces gardneri","Streptomyces gardneri",FALSE,"Streptomyces gardneri"
"45",45,235,19,1,1.1,"terpene",12426,35319,"carotenoid","Terpene",72,"barcode19","(i18)","d__Bacteria","p__Actinomycetota","c__Actinomycetia","o__Streptomycetales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces zaomyceticus","Streptomyces zaomyceticus",FALSE,"Streptomyces zaomyceticus"
"46",46,236,19,1,1.2,"T2PKS,NRPS-like,NRPS,betalactone",441197,599744,"spore pigment","Polyketide",83,"barcode19","(i18)","d__Bacteria","p__Actinomycetota","c__Actinomycetia","o__Streptomycetales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces zaomyceticus","Streptomyces zaomyceticus",FALSE,"Streptomyces zaomyceticus"
"47",47,237,19,1,1.3,"LAP,thiopeptide,terpene",634186,679436,"2-methylisoborneol","Terpene",100,"barcode19","(i18)","d__Bacteria","p__Actinomycetota","c__Actinomycetia","o__Streptomycetales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces zaomyceticus","Streptomyces zaomyceticus",FALSE,"Streptomyces zaomyceticus"
"48",48,238,19,1,1.4,"NRP-metallophore,NRPS",710477,753874,"peucechelin","NRP",55,"barcode19","(i18)","d__Bacteria","p__Actinomycetota","c__Actinomycetia","o__Streptomycetales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces zaomyceticus","Streptomyces zaomyceticus",FALSE,"Streptomyces zaomyceticus"
"49",49,239,19,10,2.1,"guanidinotides",165963,189543,"lavendiol","Polyketide",6,"barcode19","(i18)","d__Bacteria","p__Actinomycetota","c__Actinomycetia","o__Streptomycetales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces zaomyceticus","Streptomyces zaomyceticus",FALSE,"Streptomyces zaomyceticus"
"50",50,240,19,12,4.1,"lassopeptide",120481,143056,"A54145","NRP",5,"barcode19","(i18)","d__Bacteria","p__Actinomycetota","c__Actinomycetia","o__Streptomycetales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces zaomyceticus","Streptomyces zaomyceticus",FALSE,"Streptomyces zaomyceticus"
"51",51,241,19,12,4.2,"thioamitides",210857,23282,"Unknown","Unknown",0,"barcode19","(i18)","d__Bacteria","p__Actinomycetota","c__Actinomycetia","o__Streptomycetales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces zaomyceticus","Streptomyces zaomyceticus",FALSE,"Streptomyces zaomyceticus"
"52",52,242,19,13,5.1,"lanthipeptide-class-i",95084,121516,"Unknown","Unknown",0,"barcode19","(i18)","d__Bacteria","p__Actinomycetota","c__Actinomycetia","o__Streptomycetales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces zaomyceticus","Streptomyces zaomyceticus",FALSE,"Streptomyces zaomyceticus"
"53",53,243,19,17,9.1,"T3PKS",822955,864112,"alkylresorcinol","Polyketide",100,"barcode19","(i18)","d__Bacteria","p__Actinomycetota","c__Actinomycetia","o__Streptomycetales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces zaomyceticus","Streptomyces zaomyceticus",FALSE,"Streptomyces zaomyceticus"
"54",54,244,19,17,9.2,"terpene",1095179,1114791,"pulvomycin B/pulvomycin C/pulvomycin D","Polyketide",5,"barcode19","(i18)","d__Bacteria","p__Actinomycetota","c__Actinomycetia","o__Streptomycetales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces zaomyceticus","Streptomyces zaomyceticus",FALSE,"Streptomyces zaomyceticus"
"55",55,245,19,17,9.3,"terpene",1263756,1288160,"isorenieratene","Terpene",100,"barcode19","(i18)","d__Bacteria","p__Actinomycetota","c__Actinomycetia","o__Streptomycetales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces zaomyceticus","Streptomyces zaomyceticus",FALSE,"Streptomyces zaomyceticus"
"56",56,246,19,17,9.4,"terpene",1561518,1582721,"geosmin","Terpene",100,"barcode19","(i18)","d__Bacteria","p__Actinomycetota","c__Actinomycetia","o__Streptomycetales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces zaomyceticus","Streptomyces zaomyceticus",FALSE,"Streptomyces zaomyceticus"
"57",57,247,19,17,9.5,"ectoine",1626249,1636668,"ectoine","Other",100,"barcode19","(i18)","d__Bacteria","p__Actinomycetota","c__Actinomycetia","o__Streptomycetales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces zaomyceticus","Streptomyces zaomyceticus",FALSE,"Streptomyces zaomyceticus"
"58",58,248,19,17,9.6,"NRPS,T1PKS",1801010,1853900,"formicamycins A-M","Polyketide",4,"barcode19","(i18)","d__Bacteria","p__Actinomycetota","c__Actinomycetia","o__Streptomycetales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces zaomyceticus","Streptomyces zaomyceticus",FALSE,"Streptomyces zaomyceticus"
"59",59,249,19,17,9.7,"T1PKS,butyrolactone,terpene",2139530,2208234,"argimycin PI/argimycin PII/nigrifactin/argimycin PIV/argimycin PV/argimycin PVI/argimycin PIX","Polyketide:Modular type I polyketide",24,"barcode19","(i18)","d__Bacteria","p__Actinomycetota","c__Actinomycetia","o__Streptomycetales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces zaomyceticus","Streptomyces zaomyceticus",FALSE,"Streptomyces zaomyceticus"
"60",60,250,19,18,10.1,"melanin",75409,85804,"melanin","Other",28,"barcode19","(i18)","d__Bacteria","p__Actinomycetota","c__Actinomycetia","o__Streptomycetales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces zaomyceticus","Streptomyces zaomyceticus",FALSE,"Streptomyces zaomyceticus"
"61",61,251,19,18,10.2,"lanthipeptide-class-iv",105438,128206,"venezuelin","RiPP:Lanthipeptide",100,"barcode19","(i18)","d__Bacteria","p__Actinomycetota","c__Actinomycetia","o__Streptomycetales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces zaomyceticus","Streptomyces zaomyceticus",FALSE,"Streptomyces zaomyceticus"
"62",62,252,19,23,15.1,"other",15833,56273,"lidamycin","NRP+Polyketide",10,"barcode19","(i18)","d__Bacteria","p__Actinomycetota","c__Actinomycetia","o__Streptomycetales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces zaomyceticus","Streptomyces zaomyceticus",FALSE,"Streptomyces zaomyceticus"
"63",63,253,19,23,15.2,"T1PKS,butyrolactone",76352,122231,"neocarzinostatin","Polyketide:Iterative type I polyketide+Polyketide:Enediyne type I polyketide",54,"barcode19","(i18)","d__Bacteria","p__Actinomycetota","c__Actinomycetia","o__Streptomycetales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces zaomyceticus","Streptomyces zaomyceticus",FALSE,"Streptomyces zaomyceticus"
"64",64,254,19,4,21.1,"NI-siderophore",1072844,1084631,"desferrioxamin B","Other",100,"barcode19","(i18)","d__Bacteria","p__Actinomycetota","c__Actinomycetia","o__Streptomycetales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces zaomyceticus","Streptomyces zaomyceticus",FALSE,"Streptomyces zaomyceticus"
"65",65,255,19,6,23.1,"other,butyrolactone",296667,337776,"stambomycin A/stambomycin B/stambomycin C/stambomycin D","Polyketide:Modular type I polyketide+Saccharide:Hybrid/tailoring saccharide",16,"barcode19","(i18)","d__Bacteria","p__Actinomycetota","c__Actinomycetia","o__Streptomycetales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces zaomyceticus","Streptomyces zaomyceticus",FALSE,"Streptomyces zaomyceticus"
"66",66,256,19,6,23.2,"melanin",790528,80095,"istamycin","Saccharide",8,"barcode19","(i18)","d__Bacteria","p__Actinomycetota","c__Actinomycetia","o__Streptomycetales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces zaomyceticus","Streptomyces zaomyceticus",FALSE,"Streptomyces zaomyceticus"
"67",67,257,19,7,24.1,"NRPS-like,NRPS,lassopeptide,thiopeptide",63682,173983,"friulimicin A/friulimicin B/friulimicin C/friulimicin D","NRP",75,"barcode19","(i18)","d__Bacteria","p__Actinomycetota","c__Actinomycetia","o__Streptomycetales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces zaomyceticus","Streptomyces zaomyceticus",FALSE,"Streptomyces zaomyceticus"
"68",68,258,19,7,24.2,"NI-siderophore",174161,18937,"schizokinen","Other",20,"barcode19","(i18)","d__Bacteria","p__Actinomycetota","c__Actinomycetia","o__Streptomycetales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces zaomyceticus","Streptomyces zaomyceticus",FALSE,"Streptomyces zaomyceticus"
"69",69,259,19,7,24.3,"NRPS",30755,350837,"pyrroloformamide A/pyrroloformamide B/pyrroloformamide D/pyrroloformamide C","NRP+Other",75,"barcode19","(i18)","d__Bacteria","p__Actinomycetota","c__Actinomycetia","o__Streptomycetales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces zaomyceticus","Streptomyces zaomyceticus",FALSE,"Streptomyces zaomyceticus"
"70",70,260,19,7,24.4,"RiPP-like",44601,457413,"Unknown","Unknown",0,"barcode19","(i18)","d__Bacteria","p__Actinomycetota","c__Actinomycetia","o__Streptomycetales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces zaomyceticus","Streptomyces zaomyceticus",FALSE,"Streptomyces zaomyceticus"
"71",71,261,19,8,25.1,"butyrolactone",1,8058,"coelimycin P1","Polyketide:Modular type I polyketide",12,"barcode19","(i18)","d__Bacteria","p__Actinomycetota","c__Actinomycetia","o__Streptomycetales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces zaomyceticus","Streptomyces zaomyceticus",FALSE,"Streptomyces zaomyceticus"
"72",72,262,19,8,25.2,"terpene",386181,41276,"hopene","Terpene",0,"barcode19","(i18)","d__Bacteria","p__Actinomycetota","c__Actinomycetia","o__Streptomycetales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces zaomyceticus","Streptomyces zaomyceticus",FALSE,"Streptomyces zaomyceticus"
"73",73,263,20,10,1.1,"terpene",226717,247724,"pentostatine/vidarabine","Other",6,"barcode20","(i19)","d__Bacteria","p__Actinomycetota","c__Actinomycetia","o__Streptomycetales","f__Streptomycetaceae","g__Streptomyces","s__","Streptomyces (i19)",FALSE,"Streptomyces (i19)"
"74",74,264,20,2,5.1,"phosphonate",148215,160936,"fosfazinomycin A/fosfazinomycin B","Other",47,"barcode20","(i19)","d__Bacteria","p__Actinomycetota","c__Actinomycetia","o__Streptomycetales","f__Streptomycetaceae","g__Streptomyces","s__","Streptomyces (i19)",FALSE,"Streptomyces (i19)"
"75",75,265,20,2,5.2,"RRE-containing",161365,181688,"fosfazinomycin A/fosfazinomycin B","Other",36,"barcode20","(i19)","d__Bacteria","p__Actinomycetota","c__Actinomycetia","o__Streptomycetales","f__Streptomycetaceae","g__Streptomyces","s__","Streptomyces (i19)",FALSE,"Streptomyces (i19)"
"76",76,266,20,4,7.1,"NI-siderophore",193529,205313,"desferrioxamin B","Other",100,"barcode20","(i19)","d__Bacteria","p__Actinomycetota","c__Actinomycetia","o__Streptomycetales","f__Streptomycetaceae","g__Streptomyces","s__","Streptomyces (i19)",FALSE,"Streptomyces (i19)"
"77",77,267,20,4,7.2,"T1PKS,NRPS-like,NRPS",1796184,1882002,"GE81112","NRP",42,"barcode20","(i19)","d__Bacteria","p__Actinomycetota","c__Actinomycetia","o__Streptomycetales","f__Streptomycetaceae","g__Streptomyces","s__","Streptomyces (i19)",FALSE,"Streptomyces (i19)"
"78",78,268,20,4,7.3,"melanin",2601504,2611932,"saframycin A/saframycin B","NRP",4,"barcode20","(i19)","d__Bacteria","p__Actinomycetota","c__Actinomycetia","o__Streptomycetales","f__Streptomycetaceae","g__Streptomyces","s__","Streptomyces (i19)",FALSE,"Streptomyces (i19)"
"79",79,269,20,4,7.4,"NRPS,aminopolycarboxylic-acid",2733792,2781221,"EDHA","Other",88,"barcode20","(i19)","d__Bacteria","p__Actinomycetota","c__Actinomycetia","o__Streptomycetales","f__Streptomycetaceae","g__Streptomyces","s__","Streptomyces (i19)",FALSE,"Streptomyces (i19)"
"80",80,270,20,4,7.5,"RiPP-like",2809677,2821857,"Unknown","Unknown",0,"barcode20","(i19)","d__Bacteria","p__Actinomycetota","c__Actinomycetia","o__Streptomycetales","f__Streptomycetaceae","g__Streptomyces","s__","Streptomyces (i19)",FALSE,"Streptomyces (i19)"
