"","Sample_ID","Assembly","n_contigs_(>=_0_bp)","GC_pct","Completeness","Contamination","N50","Quality"
"35","AU36","barcode37",6,71.46,100,1.41,3051898,"High"
"36","AU37","barcode38",7,71.6,100,0.56,2660233,"High"
"37","AU38","barcode39",3,72.75,99.91,0.76,9315126,"High"
"38","AU39","barcode40",2,70.82,100,0.4,8428745,"High"
"39","AU40","barcode41",8,70.67,100,1.47,2606989,"High"
"40","AU41","barcode42",1,70.67,100,0.05,4494712,"High"
"41","AU42","barcode43",73,70.24,100,0.06,314664,"High"
"42","AU43","barcode44",7,72.56,100,1.5,8247698,"High"
"43","AU44","barcode45",8,69.76,100,0.41,8102213,"High"
"44","AU45","barcode46",1,50.62,100,0,4667008,"High"
"45","AU46","barcode47",1,60.57,100,0.45,6425775,"High"
"46","AU47","barcode48",1,59.1,100,0.04,6220657,"High"
"47","AU48","barcode49",1,41.68,100,0,3755901,"High"
"48","AU49","barcode50",16,40.42,100,0.71,963384,"High"
"49","AU50","barcode51",3,37.58,100,0.3,5141563,"High"
"50","AU52","barcode53",4,59.23,100,0.04,4532748,"High"
"51","AU53","barcode54",1,60.57,100,0.47,6425773,"High"
"52","AU54","barcode55",2,31.68,100,0.07,2248834,"High"
"53","AU55","barcode56",6,34.85,100,0.5,5175308,"High"
"54","AU56","barcode57",1,41.33,100,0.28,3837636,"High"
"55","AU57","barcode58",202,40.79,100,1.38,64876,"High"
"56","AU58","barcode59",1,41.68,100,0,3755906,"High"
"57","AU59","barcode60",7,39.82,100,0.26,3783287,"High"
"58","AU60","barcode61",21,38.07,100,3.65,1229957,"High"
"59","AU61","barcode62",1,58.63,100,1.4,6094721,"High"
"60","AU62","barcode63",4,70.84,100,0.89,8873648,"High"
"61","AU63","barcode64",659,71.29,38.28,1.49,6780,"Low"
"62","AU64","barcode65",369,70.42,98.36,0.37,42340,"High"
"63","AU65","barcode66",522,72.3,99.85,2.75,28235,"High"
"64","AU66","barcode67",415,71.42,84.97,1.16,35352,"Medium"
"65","AU68","barcode69",1,64.78,NA,NA,2379,"Medium"
"66","AU69","barcode70",18,70.11,99.99,0.4,4642442,"High"
"67","AU71","barcode72",331,70.01,91.58,0.89,66799,"High"
"68","AU72","barcode73",6,66.16,99.96,3.28,4041444,"High"
"69","AU73","barcode74",1,58.68,6.04,0,2229,"Low"
"70","AU74","barcode75",2,66.57,99.98,1.87,5255457,"High"
"71","AU75","barcode76",5,31.56,100,0.99,2476804,"High"
"72","AU76","barcode77",4,40.52,100,0.63,3210045,"High"
"73","AU78","barcode79",59,70.23,100,0.95,441366,"High"
"74","AU79","barcode80",484,71.07,94.34,0.54,31962,"High"
"75","AU81","barcode82",655,70.39,95.74,2.46,24343,"High"
"76","AU82","barcode83",19,71.99,99.44,1.02,937837,"High"
"77","AU83","barcode84",81,73.35,99.99,3.72,216212,"High"
"78","AU84","barcode85",258,70.16,99.99,1.84,115272,"High"
"79","AU85","barcode86",42,71.71,98.82,1.56,372797,"High"
"80","AU86","barcode87",2,71.97,99.98,1.68,8871376,"High"
"81","AU87","barcode88",11,35.49,100,0.3,1686143,"High"
"82","AU88","barcode89",12,70.79,100,1.7,1414091,"High"
"83","AU89","barcode90",47,65.5,100,1.7,799562,"High"
"84","AU90","barcode91",14,70.87,100,0.01,1093679,"High"
"85","AU91","barcode92",7,71.84,99.95,0.71,5197560,"High"
"86","AU92","barcode93",1,71.29,99.99,0.96,3343567,"High"
"87","AU93","barcode94",32,46.26,3.88,0,5239,"Low"
"88","AU94","barcode95",2,71.35,99.96,0.8,2788241,"High"
"89","AU95","barcode96",1,66.27,100,1.31,5257675,"High"
